title,recipe_link,img_link,ingredients,yield,nutrients,region,meal_type,subregion,total_calories,total_protein,total_fat,total_carb
Corned Beef Special Sandwiches,https://www.allrecipes.com/recipe/241673/corned-beef-special-sandwiches/,https://www.allrecipes.com/thmb/UFONMJwB0tWwba_kjQWmrCBUmfY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2158467-5140b6268bf0493facb079b2d2624659.jpg,"['0.33333334326744 cup Russian salad dressing', '8 slices Jewish rye bread', '1 pound thin-sliced corned beef', '0.5 pound prepared coleslaw']",4 servings,"{'calories': '443 kcal', 'carbohydrateContent': '45 g', 'cholesterolContent': '78 mg', 'fiberContent': '5 g', 'proteinContent': '28 g', 'saturatedFatContent': '5 g', 'sodiumContent': '2152 mg', 'sugarContent': '7 g', 'fatContent': '17 g', 'unsaturatedFatContent': '0 g'}",european,main,uk_ireland,2228.18,99.49,139.61,138.36
Corned Beef and Cabbage,https://www.allrecipes.com/recipe/16310/corned-beef-and-cabbage-i/,https://www.allrecipes.com/thmb/XaWObs643yz5nQgYpfw6SOh3VYk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/16310-corned-beef-cabbage-mfs-051-0d8fdf850e3546a9be2a72315763aac9.jpg,"['1 (3 pound) corned beef brisket with spice packet', '10 small red potatoes', '5 medium carrots', '1 large head cabbage']",6 servings,"{'calories': '839 kcal', 'carbohydrateContent': '69 g', 'cholesterolContent': '147 mg', 'fiberContent': '12 g', 'proteinContent': '50 g', 'saturatedFatContent': '13 g', 'sodiumContent': '3378 mg', 'fatContent': '41 g', 'unsaturatedFatContent': '0 g'}",european,main,uk_ireland,4170.46,399.01,251.36,54.21
Corned Beef and Cabbage II,https://www.allrecipes.com/recipe/57905/corned-beef-and-cabbage-ii/,https://www.allrecipes.com/thmb/l7esS43zlFVDts7DhcXAFuP8vgg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8648834-f6e6c9c7ed7346668e5b82070af46556.jpg,"['1 (5 1/2 pound) corned beef brisket', '2 tablespoons pickling spice', '1 large orange, sliced in rounds', '2 stalks celery, sliced', '1 large onion, sliced', '0.5 cup cold water', '6 tablespoons margarine, divided', '1 large head cabbage, cored and sliced', '1 cup Golden Delicious apples, cored and quartered with peel', '0.25 cup cold water']",8 servings,"{'calories': '482 kcal', 'carbohydrateContent': '17 g', 'cholesterolContent': '134 mg', 'fiberContent': '5 g', 'proteinContent': '28 g', 'saturatedFatContent': '10 g', 'sodiumContent': '1680 mg', 'sugarContent': '10 g', 'fatContent': '34 g', 'unsaturatedFatContent': '0 g'}",european,main,uk_ireland,8076.48,725.32,529.17,62.15
Corned Beef and Cabbage II,https://www.allrecipes.com/recipe/57905/corned-beef-and-cabbage-ii/,https://www.allrecipes.com/thmb/l7esS43zlFVDts7DhcXAFuP8vgg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8648834-f6e6c9c7ed7346668e5b82070af46556.jpg,"['1 (5 1/2 pound) corned beef brisket', '2 tablespoons pickling spice', '1 large orange, sliced in rounds', '2 stalks celery, sliced', '1 large onion, sliced', '0.5 cup cold water', '6 tablespoons margarine, divided', '1 large head cabbage, cored and sliced', '1 cup Golden Delicious apples, cored and quartered with peel', '0.25 cup cold water']",8 servings,"{'calories': '482 kcal', 'carbohydrateContent': '17 g', 'cholesterolContent': '134 mg', 'fiberContent': '5 g', 'proteinContent': '28 g', 'saturatedFatContent': '10 g', 'sodiumContent': '1680 mg', 'sugarContent': '10 g', 'fatContent': '34 g', 'unsaturatedFatContent': '0 g'}",usa,main,jewish,8076.48,725.32,529.17,62.15
Corned Beef and Cabbage Shepherd's Pie,https://www.allrecipes.com/recipe/283623/corned-beef-and-cabbage-shepherds-pie/,https://www.allrecipes.com/thmb/m_A5MIU7IfMbdUr3QmMiYElNrM0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9088901_corned-beef-and-cabbage-shepherds-pie_chef-john-2000-ea62e12a905c403b83fb2ee49e63deef.jpg,"['1 (4 pound) corned beef brisket with spice packet', '1 medium yellow onion, thickly sliced', '2 stalks celery, cut into 1-inch pieces', '3 quarts cold water, or as needed to cover', 'kosher salt to taste', '2 small heads Savoy cabbage, cored and cut into 2-inch pieces', '3 medium carrots, thickly sliced', '5 large russet potatoes, quartered', '0.5 cup unsalted butter, cut into slices', 'freshly ground black pepper to taste', '1 pinch cayenne pepper, or to taste', '1 cup milk', '0.75 cup grated Irish Cheddar cheese, plus more to taste', '1 tablespoon chopped scallions, or to taste']",8 servings,"{'calories': '664 kcal', 'carbohydrateContent': '59 g', 'cholesterolContent': '144 mg', 'fiberContent': '10 g', 'proteinContent': '31 g', 'saturatedFatContent': '16 g', 'sodiumContent': '1330 mg', 'sugarContent': '9 g', 'fatContent': '35 g', 'unsaturatedFatContent': '0 g'}",european,main,uk_ireland,8180.9,600.71,464.57,376.1
Corned Beef and Cabbage with Guinness®-Dijon Gravy,https://www.allrecipes.com/recipe/285894/corned-beef-and-cabbage-with-guinness-dijon-gravy/,https://www.allrecipes.com/thmb/VuokGtGoDYqrph1pmBCKOPN7x6A=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6481113-dcd8d3a8c0bf4ce3ae78c2ea64731889.jpg,"['0.25 medium white onion, chopped', '2 cloves garlic, minced', '1 (2 pound) corned beef brisket with spice packet', '4 cups water', '2 large bay leaves', '7 medium Yukon Gold potatoes, quartered', '4 medium carrots, cut into 1-inch chunks', '0.33333334326744 medium head cabbage, coarsely chopped', '2 tablespoons butter', '2 tablespoons all-purpose flour', '1 cup beef broth', '0.5 cup Irish stout beer (such as Guinness®)', '2 tablespoons Dijon mustard', '1 teaspoon ground black pepper', '0.5 teaspoon salt']",6 servings,"{'calories': '372 kcal', 'carbohydrateContent': '38 g', 'cholesterolContent': '75 mg', 'fiberContent': '5 g', 'proteinContent': '17 g', 'saturatedFatContent': '7 g', 'sodiumContent': '1277 mg', 'sugarContent': '4 g', 'fatContent': '17 g', 'unsaturatedFatContent': '0 g'}",european,main,uk_ireland,4211.07,300.79,193.95,296.03
Corned Beef for Sandwiches in a Slow Cooker,https://www.allrecipes.com/recipe/283283/corned-beef-for-sandwiches-in-a-slow-cooker/,https://www.allrecipes.com/thmb/73SZ3VwcDzoopwJMXg1w-KoAM1Y=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3322933-b26cde8d623748bb8d2d1191601b60f5.jpg,"['1 (4 pound) corned beef brisket, seasoning packet discarded', '1 tablespoon whole black peppercorns', '4 whole cloves', '0.25 teaspoon cayenne pepper', '1 pinch ground cinnamon', '1 (15 ounce) can dark Irish stout beer (such as Guinness®)', '2 medium heads garlic, cloves separated', '4 bay leaves']",10 servings,"{'calories': '243 kcal', 'carbohydrateContent': '7 g', 'cholesterolContent': '80 mg', 'fiberContent': '1 g', 'proteinContent': '16 g', 'saturatedFatContent': '5 g', 'sodiumContent': '925 mg', 'sugarContent': '0 g', 'fatContent': '16 g', 'unsaturatedFatContent': '0 g'}",european,main,uk_ireland,5521.06,525.31,334.7,15.75
Cornell Chicken,https://www.allrecipes.com/recipe/221091/cornell-chicken/,https://www.allrecipes.com/thmb/vpVP4aahFhTw2_zvGzducXs1krE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3548042-cornell-chicken-Chef-John-1x1-2-0f6612773bd94fcbaaef56d9ed10170b.jpg,"['2 cups cider vinegar', '1 cup vegetable oil', '1 large egg', '3 tablespoons salt', '1 tablespoon poultry seasoning', '0.5 teaspoon ground black pepper', '1 (3 to 3 1/2 pound) broiler-fryer chicken, cut in half']",6 servings,"{'calories': '633 kcal', 'carbohydrateContent': '1 g', 'cholesterolContent': '127 mg', 'fiberContent': '0 g', 'proteinContent': '33 g', 'saturatedFatContent': '10 g', 'sodiumContent': '3588 mg', 'sugarContent': '0 g', 'fatContent': '54 g', 'unsaturatedFatContent': '0 g'}",usa,,state_ny,5607.92,387.2,430.63,9.18
Cornes de Gazelle (Gazelle Horns),https://www.allrecipes.com/recipe/262056/cornes-de-gazelle-gazelle-horns/,https://www.allrecipes.com/thmb/3m9JloU25vCmHhZYczR1mOj9WL4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4775615-b68712738cad411ba95fc50e8379f58f.jpg,"['2.25 cups almonds', '0.75 cup white sugar', '1 tablespoon white sugar', '0.25 teaspoon ground cinnamon', '1 egg', '1 tablespoon orange blossom water', '2 cups all-purpose flour', '0.5 cup softened, unsalted butter, diced', '1 tablespoon unsalted butter', '1 pinch salt', '1 egg, beaten', '3 tablespoons vegetable oil', '1.5 tablespoons orange blossom water', '6 tablespoons honey', '1 tablespoon orange blossom water', '3 tablespoons crushed pistachios, or to taste']",50 servings,"{'calories': '107 kcal', 'carbohydrateContent': '11 g', 'cholesterolContent': '13 mg', 'fiberContent': '1 g', 'proteinContent': '2 g', 'saturatedFatContent': '2 g', 'sodiumContent': '9 mg', 'sugarContent': '6 g', 'fatContent': '7 g', 'unsaturatedFatContent': '0 g'}",african,,north_african,5349.71,110.13,330.05,535.02
Cornish Finnish Michigan Pasties,https://www.allrecipes.com/recipe/12432/cornish-finnish-michigan-pasties/,https://www.allrecipes.com/thmb/kDS_iF1BwwekVwffroFMVh-HBJ4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/347393-ea90ef4f28ef4113a1f3937867874ab7.jpg,"['4.5 cups all-purpose flour', '1 cup shortening', '1.25 cups ice water', '1 teaspoon salt', '5.5 cups thinly sliced potatoes', '2 carrots, shredded', '1 onions', '0.5 cup diced rutabaga', '1.5 pounds lean ground beef', '0.5 pound lean ground pork', '1 tablespoon salt', '1 teaspoon ground black pepper', '1.5 teaspoons monosodium glutamate (MSG)', '1 cube beef bouillon', '0.5 cup hot water']",8 servings,"{'calories': '882 kcal', 'carbohydrateContent': '76 g', 'cholesterolContent': '84 mg', 'fiberContent': '5 g', 'proteinContent': '30 g', 'saturatedFatContent': '16 g', 'sodiumContent': '1459 mg', 'sugarContent': '3 g', 'fatContent': '50 g', 'unsaturatedFatContent': '0 g'}",european,,"scandi,vian",6693.24,325.89,303.54,647.91
Cornish Finnish Michigan Pasties,https://www.allrecipes.com/recipe/12432/cornish-finnish-michigan-pasties/,https://www.allrecipes.com/thmb/kDS_iF1BwwekVwffroFMVh-HBJ4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/347393-ea90ef4f28ef4113a1f3937867874ab7.jpg,"['4.5 cups all-purpose flour', '1 cup shortening', '1.25 cups ice water', '1 teaspoon salt', '5.5 cups thinly sliced potatoes', '2 carrots, shredded', '1 onions', '0.5 cup diced rutabaga', '1.5 pounds lean ground beef', '0.5 pound lean ground pork', '1 tablespoon salt', '1 teaspoon ground black pepper', '1.5 teaspoons monosodium glutamate (MSG)', '1 cube beef bouillon', '0.5 cup hot water']",8 servings,"{'calories': '882 kcal', 'carbohydrateContent': '76 g', 'cholesterolContent': '84 mg', 'fiberContent': '5 g', 'proteinContent': '30 g', 'saturatedFatContent': '16 g', 'sodiumContent': '1459 mg', 'sugarContent': '3 g', 'fatContent': '50 g', 'unsaturatedFatContent': '0 g'}",usa,,state_mn,6693.24,325.89,303.54,647.91
Cornish Game Hens with Garlic and Rosemary,https://www.allrecipes.com/recipe/8938/cornish-game-hens-with-garlic-and-rosemary/,https://www.allrecipes.com/thmb/s-w07x0BVOKIEC4CWK3_gXF0CTA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8497552-cornish-game-hens-with-garlic-and-rosemary-lc206-1x1-1-3cc218be68454378a1c067b35aa43634.jpg,"['4 Cornish game hens', '3 tablespoons olive oil, divided', 'salt and pepper to taste', '1 lemon, quartered', '8 sprigs fresh rosemary, divided', '24 cloves garlic', '0.33333334326744 cup white wine', '0.33333334326744 cup low-sodium chicken broth']",4 servings,"{'calories': '814 kcal', 'carbohydrateContent': '10 g', 'cholesterolContent': '340 mg', 'fiberContent': '2 g', 'proteinContent': '59 g', 'saturatedFatContent': '15 g', 'sodiumContent': '1383 mg', 'sugarContent': '0 g', 'fatContent': '58 g', 'unsaturatedFatContent': '0 g'}",usa,main,state_ca,3236.56,236.29,229.13,35.94
Cornish Pasty,https://www.allrecipes.com/recipe/12246/cornish-pasty/,https://www.allrecipes.com/thmb/lVg0DviIozHp8p4KQSQVK12Ssuc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7313259-8223a26c902442518006871f97558f16.jpg,"['2.1875 cups all-purpose flour', '0.25 teaspoon salt', '1 teaspoon baking powder', '0.5 cup butter, diced', '0.5 cup water', '1.25 pounds rump roast, cubed', '1 onion, chopped', '2 potatoes, peeled and diced', '2 small carrots', 'salt and pepper to taste', '2 tablespoons milk']",6 servings,"{'calories': '558 kcal', 'carbohydrateContent': '51 g', 'cholesterolContent': '101 mg', 'fiberContent': '4 g', 'proteinContent': '26 g', 'saturatedFatContent': '14 g', 'sodiumContent': '360 mg', 'sugarContent': '3 g', 'fatContent': '27 g', 'unsaturatedFatContent': '0 g'}",european,,uk_ireland,3460.04,190.65,162.15,302.16
Cornucopia Salad,https://www.allrecipes.com/recipe/206447/cornucopia-salad/,https://www.allrecipes.com/thmb/BMNb6aQgcnX9wvunNGXoo-6cXVk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/301940-c3f131e2751645a98739a472a9bd4c30.jpg,"['0.25 cup sliced almonds', '1 tablespoon white sugar', '1 head red leaf lettuce, torn', '3 green onions, chopped', '1 Granny Smith apple, cored and chopped', '1 avocado - peeled, pitted, and chopped', '0.5 cup dried cranberries', '0.25 cup crumbled blue cheese', '2 tablespoons red wine vinegar', '2 teaspoons white sugar', 'salt and pepper to taste', '0.25 cup vegetable oil']",8 servings,"{'calories': '181 kcal', 'carbohydrateContent': '15 g', 'cholesterolContent': '3 mg', 'fiberContent': '3 g', 'proteinContent': '3 g', 'saturatedFatContent': '3 g', 'sodiumContent': '72 mg', 'sugarContent': '10 g', 'fatContent': '13 g', 'unsaturatedFatContent': '0 g'}",usa,,state_tx,1541.83,22.62,109.2,136.36
Coronation Chicken,https://www.allrecipes.com/recipe/79538/coronation-chicken/,https://www.allrecipes.com/thmb/kNXEsi0xt-SjsX-YrjSU5oA3b9k=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/191587-58cdffcb82064574b5e652759c3cec31.jpg,"['6 skinless, boneless chicken breast halves', '0.33333334326744 cup sultana raisins', '1 (1 pound) large mango, peeled, thinly sliced', '0.66666668653488 cup mayonnaise', '1 teaspoon mild curry powder', '1 tablespoon mango chutney', '1 teaspoon fresh lemon juice', '1 pinch salt and ground black pepper', '0.75 cup toasted cashews']",6 servings,"{'calories': '476 kcal', 'carbohydrateContent': '28 g', 'cholesterolContent': '70 mg', 'fiberContent': '2 g', 'proteinContent': '27 g', 'saturatedFatContent': '5 g', 'sodiumContent': '302 mg', 'sugarContent': '19 g', 'fatContent': '30 g', 'unsaturatedFatContent': '0 g'}",usa,salad,state_ca,3616.26,250.58,186.63,250.03
Cosmopolitan,https://www.allrecipes.com/recipe/25845/cosmopolitan/,https://www.allrecipes.com/thmb/32DessvrDBMXNS8kY9gdcyaArRs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/95831-096b4177ae734bbbbdb32fd3bc02d874.jpg,"['1 (1.5 fluid ounce) jigger vodka', '0.5 fluid ounce cointreau', '1 teaspoon fresh lime juice', '1.5 fluid ounces cranberry juice', '1 twist lime zest, garnish']",1 serving,{},usa,,state_ca,186.61,0.23,0.07,11.52
Costas French Market Doughnuts (Beignets),https://www.allrecipes.com/recipe/151366/costas-french-market-doughnuts-beignets/,https://www.allrecipes.com/thmb/RYHfOJBDLkjJRsNtVoJtzCLucU0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4379140-4cf935ffa5f2407694251fc7ca0bf28c.jpg,"['0.5 cup water', '1 tablespoon yeast', '0.25 cup shortening', '0.5 cup sugar', '1 teaspoon salt', '1 cup boiling water', '1 cup evaporated milk', '2 eggs, beaten', '7.5 cups flour', '1 quart vegetable oil for frying', ""1 cup confectioners' sugar for dusting""]",12 servings,"{'calories': '503 kcal', 'carbohydrateContent': '81 g', 'cholesterolContent': '37 mg', 'fiberContent': '2 g', 'proteinContent': '11 g', 'saturatedFatContent': '3 g', 'sodiumContent': '231 mg', 'sugarContent': '21 g', 'fatContent': '15 g', 'unsaturatedFatContent': '0 g'}",usa,"bread,dessert",",southern,state_la",12888.52,131.41,958.71,956.11
Cottage Cheese Blintzes,https://www.allrecipes.com/recipe/212387/cottage-cheese-blintzes/,https://www.allrecipes.com/thmb/DotyoLYDgpuN2Hgtmg-zPtz6gEA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1005390-fb82c2a949db4d739f5b09c5ac3a9e4d.jpg,"['3 eggs', '1 cup milk', '2 tablespoons vegetable oil', '0.75 cup all-purpose flour', '1 teaspoon vegetable oil, or as needed', '2 (16 ounce) containers small curd cottage cheese, very well drained', '2 egg yolks', '0.25 cup white sugar', '2 tablespoons lemon juice', '1 teaspoon vegetable oil, or as needed']",15 servings,"{'calories': '149 kcal', 'carbohydrateContent': '11 g', 'cholesterolContent': '75 mg', 'fiberContent': '0 g', 'proteinContent': '10 g', 'saturatedFatContent': '3 g', 'sodiumContent': '264 mg', 'sugarContent': '4 g', 'fatContent': '7 g', 'unsaturatedFatContent': '0 g'}",usa,bread,jewish,1481.64,58.12,73.64,146.2
Cottage Pie,https://www.allrecipes.com/recipe/169136/cottage-pie/,https://www.allrecipes.com/thmb/3pgBJpy6Eg1dfTwf9ydijcy3FXY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2630787-d774c89d9f284af8ba828cdd21939acc.jpg,"['4 large Yukon Gold potatoes, quartered', '6 tablespoons butter, divided', '1 clove garlic, minced', 'salt and pepper to taste', '1 tablespoon olive oil', '1 pound lean ground beef', '1 tablespoon herbes de Provence', '1 teaspoon ground nutmeg', '1.5 cups frozen peas']",6 servings,"{'calories': '401 kcal', 'carbohydrateContent': '28 g', 'cholesterolContent': '76 mg', 'fiberContent': '4 g', 'proteinContent': '18 g', 'saturatedFatContent': '12 g', 'sodiumContent': '199 mg', 'sugarContent': '2 g', 'fatContent': '25 g', 'unsaturatedFatContent': '0 g'}",european,,uk_ireland,3094.62,172.74,140.35,290.4
Country Cooking Slow Cooker Neck Bones,https://www.allrecipes.com/recipe/181017/country-cooking-slow-cooker-neck-bones/,https://www.allrecipes.com/thmb/n6o5B-tmiCj3SHYgj2qY6zIl_Fw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/874187-a21196ecff834b93bb38210da38564dd.jpg,"['3 pounds pork neck bones', '1 small onion, chopped', '3 cloves garlic, minced, or more to taste', '1 teaspoon salt', '1 teaspoon dried thyme leaves', '1 tablespoon distilled white vinegar', '4 cups water']",8 servings,"{'calories': '518 kcal', 'carbohydrateContent': '1 g', 'cholesterolContent': '101 mg', 'fiberContent': '0 g', 'proteinContent': '19 g', 'saturatedFatContent': '17 g', 'sodiumContent': '352 mg', 'sugarContent': '0 g', 'fatContent': '48 g', 'unsaturatedFatContent': '0 g'}",usa,main,southern,2658.46,361.43,120.27,9.84
Country Fried Squash,https://www.allrecipes.com/recipe/14126/country-fried-squash/,https://www.allrecipes.com/thmb/2BcPfp9MDKzzgFhL6sqsT5VINB8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9286306-fae333683f4e422b978b70ff919e84f6.jpg,"['0.5 cup milk', '1 egg, beaten', '0.5 cup all-purpose flour', '0.5 cup cornmeal', '1 pinch garlic salt', '1 pinch ground black pepper', '1 pinch salt', '1 cup oil for frying', '6 pounds butternut squash - peeled, seeded and sliced']",4 servings,"{'calories': '501 kcal', 'carbohydrateContent': '105 g', 'cholesterolContent': '49 mg', 'fiberContent': '15 g', 'proteinContent': '12 g', 'saturatedFatContent': '2 g', 'sodiumContent': '145 mg', 'sugarContent': '17 g', 'fatContent': '9 g', 'unsaturatedFatContent': '0 g'}",usa,side,",southern,state_tn",3640.48,46.32,235.19,386.68
Country Fried Steaks with Sweet Onion Gravy,https://www.allrecipes.com/recipe/215789/country-fried-steaks-with-sweet-onion-gravy/,https://www.allrecipes.com/thmb/SXGJ8myHt77TvOayo9lhWUR1Qiw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7051474-7a043f71e7234809ab98b73990df067e.jpg,"['1 cup all-purpose flour', '2 tablespoons cornstarch', '1.25 teaspoons onion powder', '1.25 teaspoons garlic powder', '0.5 teaspoon salt', '0.5 teaspoon ground black pepper', '0.25 teaspoon cayenne pepper', '4 (4 ounce) beef cube steaks', '2 tablespoons unsalted butter', '2 tablespoons olive oil', '3 very large sweet onions (such as Vidalia®), thinly sliced', '2 cups beef stock', '1 cup milk']",4 servings,"{'calories': '456 kcal', 'carbohydrateContent': '44 g', 'cholesterolContent': '48 mg', 'fiberContent': '3 g', 'proteinContent': '23 g', 'saturatedFatContent': '8 g', 'sodiumContent': '398 mg', 'sugarContent': '10 g', 'fatContent': '21 g', 'unsaturatedFatContent': '0 g'}",usa,main,southern,2868.16,181.06,144.8,208.56
Country Goulash,https://www.allrecipes.com/recipe/239705/country-goulash/,https://www.allrecipes.com/thmb/U8xrrScvbgpOIOUOJyHYjZuzYt4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4543507-e72d5d2c268b49108a1b40d1d040a437.jpg,"['2 pounds lean ground beef', '1 large yellow onion, chopped', '3 cloves garlic, chopped', '3 tablespoons paprika, or to taste', '2 teaspoons ground black pepper, or to taste', '2 teaspoons seasoned salt, or to taste', '2 (15 ounce) cans tomato sauce', '1 (8 ounce) can tomato paste', '1 cup water, or as desired', '2 cups uncooked elbow macaroni']",6 servings,"{'calories': '509 kcal', 'carbohydrateContent': '46 g', 'cholesterolContent': '99 mg', 'fiberContent': '7 g', 'proteinContent': '38 g', 'saturatedFatContent': '8 g', 'sodiumContent': '1435 mg', 'sugarContent': '13 g', 'fatContent': '20 g', 'unsaturatedFatContent': '0 g'}",european,,eastern_european,3021.52,298.91,118.56,197.76
Country Morning Cake,https://www.allrecipes.com/recipe/25352/country-morning-cake/,https://www.allrecipes.com/thmb/ZrBtzm26fNlUrpzvGxqWZDXTB3c=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/699620-22b03b5768314ac2a5eebbf90a04adaf.jpg,"['0.25 cup brown sugar', '0.25 cup white sugar', '0.5 teaspoon ground cinnamon', '0.5 cup butter, softened', '0.25 cup white sugar', '0.5 cup sour cream', '1 teaspoon vanilla extract', '1 egg', '1 cup all-purpose flour', '0.5 teaspoon baking soda', '1 pinch salt', '0.33300000429153 cup raisins']",6 servings,"{'calories': '386 kcal', 'carbohydrateContent': '48 g', 'cholesterolContent': '80 mg', 'fiberContent': '1 g', 'proteinContent': '4 g', 'saturatedFatContent': '13 g', 'sodiumContent': '240 mg', 'sugarContent': '26 g', 'fatContent': '20 g', 'unsaturatedFatContent': '0 g'}",usa,,state_mn,2296.88,24.63,120.56,287.96
Country Sausage Gravy,https://www.allrecipes.com/recipe/21513/country-sausage-gravy/,https://www.allrecipes.com/thmb/LoL09QozOmaTNAl103FjBQm0xVA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4588995-65e2de8ee1524892a66704cf10a87ea0.jpg,"['1 pound pork sausage', '1 onion, finely chopped', '1 green bell pepper, finely chopped', '1 teaspoon crushed red pepper flakes', '2 tablespoons garlic, minced', '4 tablespoons unsalted butter', 'salt and pepper to taste', '4 tablespoons all-purpose flour', '1 teaspoon minced fresh sage', '1 teaspoon minced fresh thyme', '2 cups milk, divided', '2 cubes chicken bouillon', '0.25 cup minced fresh parsley']",4 servings,"{'calories': '700 kcal', 'carbohydrateContent': '20 g', 'cholesterolContent': '118 mg', 'fiberContent': '1 g', 'proteinContent': '20 g', 'saturatedFatContent': '25 g', 'sodiumContent': '1389 mg', 'sugarContent': '8 g', 'fatContent': '60 g', 'unsaturatedFatContent': '0 g'}",usa,,southern,2360.9,108.68,181.12,79.59
Country Style Fried Potatoes,https://www.allrecipes.com/recipe/20749/country-style-fried-potatoes/,https://www.allrecipes.com/thmb/iTFOZULejpUYQdtfhFfQ2el89_Q=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3560799-bf3b3059cb0d47f9831345b71153d51b.jpg,"['0.33333298563957 cup shortening', '6 large potatoes, peeled and cubed', '1 teaspoon salt', '0.5 teaspoon ground black pepper', '0.5 teaspoon garlic powder', '0.5 teaspoon paprika']",6 servings,"{'calories': '326 kcal', 'carbohydrateContent': '52 g', 'fiberContent': '4 g', 'proteinContent': '5 g', 'saturatedFatContent': '3 g', 'sodiumContent': '400 mg', 'sugarContent': '4 g', 'fatContent': '12 g', 'unsaturatedFatContent': '0 g'}",usa,side,jewish,2288.33,45.38,70.17,381.86
Country-Style Steak,https://www.allrecipes.com/recipe/215620/country-style-steak/,https://www.allrecipes.com/thmb/gjtEJL4_pc3eIb9VZkqxT5yhd3Y=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1526348-country-style-steak-Sugarplum-1x1-1-7f202813f60d4967b21ca33397f574fc.jpg,"['1 cup all-purpose flour', '1 teaspoon cracked black pepper', '1 teaspoon seasoned salt', '0.25 teaspoon garlic powder', '1 pound beef cube steaks', '0.5 cup olive oil', '2 cups beef broth']",4 servings,"{'calories': '355 kcal', 'carbohydrateContent': '25 g', 'cholesterolContent': '27 mg', 'fiberContent': '1 g', 'proteinContent': '18 g', 'saturatedFatContent': '4 g', 'sodiumContent': '656 mg', 'sugarContent': '0 g', 'fatContent': '20 g', 'unsaturatedFatContent': '0 g'}",usa,main,southern,2834.97,160.18,197.8,98.03
County Fair Style Kool-Aid® Drop Doughnuts,https://www.allrecipes.com/recipe/218578/county-fair-style-kool-aid-drop-doughnuts/,https://www.allrecipes.com/thmb/e5czxa7csOGTSP8vj1qKjNsfp8Q=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/737489-e31d6f094618431585a7fc454822e19c.jpg,"['2 quarts vegetable oil for frying', '3 cups all-purpose flour', '1 cup white sugar', '1 tablespoon baking powder', '0.5 teaspoon salt', '0.5 (.13 ounce) envelope unsweetened soft drink mix, any flavor (such as KOOL-AID®)', '1 cup milk', '2 eggs', '3 tablespoons melted butter', '1 teaspoon vanilla extract', '1 cup white sugar', '0.5 (.13 ounce) envelope unsweetened soft drink mix, any flavor (such as KOOL-AID®)']",50 servings,"{'calories': '101 kcal', 'carbohydrateContent': '14 g', 'cholesterolContent': '10 mg', 'fiberContent': '0 g', 'proteinContent': '1 g', 'saturatedFatContent': '1 g', 'sodiumContent': '63 mg', 'sugarContent': '8 g', 'fatContent': '5 g', 'unsaturatedFatContent': '0 g'}",usa,,state_ca,18879.59,59.71,1790.26,706.9
